代码,名称,所属行业
FOX,福克斯公司-B,娱乐
FOXA,福克斯公司-A,娱乐
FOXF,Fox Factory,汽车零件
FPH,五点控股,房地产 - 开发
FR,第一工业地产,房地产投资信托 - 工业
FRPH,FRP Holdings,房地产服务
FRSH,Freshworks,软件 - 应用
FRT,FRT信托,房地产投资信托 - 零售
FSLR,第一太阳能,太阳能
FSTR,LB福斯特,铁路
FSV,Firstservice,房地产服务
FTAI,FTAI Aviation,租赁服务
FTDR,Frontdoor,个性化服务
FTI,德希尼布FMC,石油和天然气设备与服务
FTNT,飞塔信息,软件 - 基础架构
FTRE,Fortrea Holdings,生物技术
FTV,Fortive,科技仪器
FUL,富乐,特种化学品
FULT,富尔顿金融,银行 - 地区性
G,简伯特,信息技术服务
GANX,Gain Therapeutics,生物技术
GAU,Galiano Gold,黄金
GB,Global Blue,软件 - 基础架构
GCI,甘尼特,出版
GD,通用动力,航空航天和国防
GE,通用电气,航空航天和国防
GEF,格瑞夫,包装与容器
GEG,Great Elm,资产管理
GEHC,GE HealthCare Technologies,健康信息服务
GENK,GEN Restaurant Group,餐厅
GEO,GEO惩教集团,安全与防护服务
GEOS,Geospace Technologies,石油和天然气设备与服务
GFS,GlobalFoundries,半导体
GGB,盖尔道钢铁,钢
GGG,固瑞克,特种工业机械
GH,Guardant Health,诊断与研究
GHC,格雷厄姆控股,教育培训服务
GHLD,Guild Holdings,抵押金融
GHM,Graham,特种工业机械
GIB,CGI Inc,信息技术服务
GIII,G-III服装集团,服装制造
GIL,吉登运动服,服装制造
GILD,吉利德科学,药品制造商 - 一般
GIS,通用磨坊,包装食品
GKOS,Glaukos,医疗设备
GLOB,Globant,信息技术服务
GLPG,Galapagos,生物技术
GLPI,Gaming & Leisure Properties,房地产投资信托 - 专业
GLST,Global Star Acquisition Inc,空壳公司
GLW,康宁,电子元器件
GM,通用汽车,汽车制造商
GMAB,Genmab,生物技术
GNE,Genie Energy,公用事业 - 受监管电力
GNRC,Generac,特种工业机械
GNTX,真泰克,汽车零件
GODN,Golden Star Acquisition Corp,空壳公司
GOLD,巴里克黄金,黄金
GOOG,谷歌-C,互联网内容与信息
GOOS,加拿大鹅,服装制造
GPC,Genuine Parts,专业零售
GPI,汽车一组,汽车和卡车经销权
GPK,Graphic Packaging,包装与容器
GPN,环汇有限公司,专业商务服务
GPOR,格尔夫波特能源,石油和天然气勘探及生产
GPRO,GoPro,消费电子品
GPS,Gap Inc,服装零售
GRAB,Grab Holdings,软件 - 应用
GRBK,Green Brick Partners,住宅施工
GRMN,佳明,科技仪器
GRND,Grindr,软件 - 应用
GS,高盛,资本市场
GSHD,Goosehead Insurance,保险 - 多元化
GSK,葛兰素史克,药品制造商 - 一般
GSM,Ferroglobe,其他工业金属与采矿
GT,固特异轮胎橡胶,汽车零件
GTES,Gates Industrial,特种工业机械
GTN,格雷电视,广播
GTX,Garrett Motion,汽车零件
GWRE,Guidewire Software,软件 - 应用
GXO,GXO Logistics,综合货运与物流
H,凯悦酒店,住宿
HA,夏威夷控股,航空公司
HAIN,海恩时富,包装食品
HAL,哈里伯顿,石油和天然气设备与服务
HALO,奥洛兹美医疗,生物技术
HAYN,海恩斯国际,金属加工
HAYW,Hayward Holdings,电气设备及零件
HBB,Hamilton Beach Brands,家具、固定装置和家电
HBM,Hudbay Minerals,铜
HCA,HCA医疗,医疗设施
HCAT,Health Catalyst,健康信息服务
HCC,Warrior Met Coal,焦练煤
HD,家得宝,家居装修零售
HDB,HDFC银行,银行 - 地区性
HEES,H&E设备服务,租赁服务
HELE,海伦特洛伊家电,家用和个人产品
HES,赫斯,石油和天然气勘探及生产
HGTY,Hagerty,保险 - 财产和伤亡
HGV,Hilton Grand Vacations,渡假村和赌场
HHH,Howard Hughes Holding,房地产 - 多元化
HI,希伦布兰德,特种工业机械
HII,亨廷顿英格尔斯工业,航空航天和国防
HIMS,Hims & Hers Health,家用和个人产品
HIW,海伍兹物业,房地产投资信托 - 写字楼
HLF,康宝莱,包装食品
HLI,华利安,资本市场
HLN,Haleon,药品制造商 - 专业和通用
HLNE,Hamilton Lane,资产管理
HLT,希尔顿酒店,住宿
HMC,本田汽车,汽车制造商
HMN,霍勒斯曼恩,保险 - 财产和伤亡
HNRA,HNR Acquisition Corp,空壳公司
HNRG,Hallador Energy,动力煤
HNST,The Honest,家用和个人产品
HOFT,胡克家具,家具、固定装置和家电
HOG,哈雷戴维森,休闲车
HOLI,和利时自动化,电气设备及零件
HOLX,豪洛捷,医疗设备和用品
HOMB,Home BancShares,银行 - 地区性
HON,霍尼韦尔,企业集团
